,id,name,year,genre,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect,d动画,d悬疑,d剧情,d西部,d犯罪,d灾难,d传记,d科幻,d儿童,d歌舞,d奇幻,d家庭,d喜剧,d音乐,d惊悚,d运动,d历史,d古装,d爱情,d冒险,d恐怖,d动作,d战争,d武侠,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
3062,6717575,开心魔法,2011,"['喜剧', '奇幻']",15527,10,2,4.4,1804,27592,48,1804,69842,77,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3063,6717581,爱来不来,2011,['爱情'],187,10,2,5.7,23,521,23,23,906,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3064,6717589,晁盖,2011,"['剧情', '动作']",232,10,2,6.2,100,1508,155,100,3209,169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3065,6717592,安道全与王定六,2011,"['剧情', '动作']",159,10,2,5.0,100,1382,155,100,1723,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3066,6717600,生死密电,2011,['历史'],241,10,2,6.3,20,311,24,20,491,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3067,6721670,秦时明月之龙腾万里,2014,"['动画', '奇幻', '冒险', '武侠']",30366,10,2,6.9,574,10131,574,574,12642,574,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3068,6722888,醉后一夜,2012,"['喜剧', '爱情', '悬疑']",20516,10,2,5.4,10730,12534,16863,10817,27927,27696,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3069,6729981,魂断疯人院,2011,['悬疑'],71,10,2,5.5,11,411,10,11,830,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3070,6730004,爱 愛,2012,"['剧情', '爱情']",221893,10,2,6.9,6556,31302,6556,6556,115601,6610,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3071,6733278,狂奔蚂蚁,2012,"['剧情', '喜剧', '爱情']",1382,10,2,6.0,21,179,1,22,216,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3072,6736369,鬼门关,2011,"['剧情', '爱情']",1429,10,2,7.5,27,43014,126,27,43250,126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3073,6738735,大追捕,2012,"['剧情', '动作', '犯罪', '悬疑', '惊悚']",81948,10,2,7.3,490,16153,514,490,66226,1004,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3074,6738760,倾城之泪,2011,"['剧情', '爱情']",54622,10,2,4.9,1163,26632,1163,1163,52889,1628,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3075,6743468,今年一定要嫁出去,2011,['剧情'],457,10,2,3.8,1,5803,0,1,9814,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3076,6753096,床下有人,2011,"['悬疑', '惊悚']",6745,10,2,2.9,46,172,46,46,304,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3077,6755902,一夜成名,2012,"['剧情', '喜剧', '音乐']",993,10,2,2.7,9,3571,0,9,7328,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3078,6759229,新天生一对,2012,"['剧情', '喜剧', '爱情', '家庭']",43364,10,2,6.3,756,28328,25,756,37167,30,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3079,6778650,嫁个100分男人,2012,"['喜剧', '爱情']",10598,10,2,4.0,8403,8325,8403,8403,31207,8403,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3081,6781971,萧红,2012,"['剧情', '传记']",16047,10,2,6.5,1599,21229,91,1599,31102,94,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
